epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,127.808,1.42131,6.41066,0.02523,0.54935,0.0359,0.04027,0.02189,1.69966,4.10231,0.04084,0.00998084,0.00332695,0.00998084,0.00332695,0.00998084,0.00332695,0.00998084,0.00332695
2,229.111,1.47521,5.0949,0.02626,0.41555,0.16693,0.16234,0.08509,1.79507,3.01562,0.04404,0.019783,0.00659434,0.019783,0.00659434,0.019783,0.00659434,0.019783,0.00659434
3,324.981,1.56705,4.14198,0.02831,0.44198,0.16695,0.16771,0.08273,1.94258,3.41989,0.04913,0.0293872,0.00979574,0.0293872,0.00979574,0.0293872,0.00979574,0.0293872,0.00979574
4,419.611,1.61423,3.44933,0.02931,0.39724,0.22273,0.24745,0.12351,1.92727,3.03219,0.04814,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,513.006,1.6357,3.04045,0.02975,0.45036,0.25614,0.26151,0.12694,1.95221,2.89541,0.04967,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,607.368,1.62436,2.82086,0.02949,0.46402,0.33292,0.32593,0.15595,1.9209,2.49415,0.04803,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,704.174,1.6104,2.68194,0.02935,0.38542,0.34406,0.34968,0.17222,1.94322,2.51528,0.04858,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,801.188,1.60187,2.55688,0.02915,0.50299,0.4181,0.42351,0.21869,1.93953,2.29658,0.04814,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,895.89,1.60779,2.47796,0.02919,0.50093,0.34425,0.36611,0.18312,1.9797,2.45472,0.04942,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,989.597,1.58876,2.3813,0.0288,0.47464,0.39619,0.39487,0.1998,1.91278,2.32016,0.04745,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1083.36,1.58943,2.34017,0.02859,0.50117,0.41693,0.45042,0.22585,1.90163,2.17079,0.04733,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1176.78,1.57214,2.30377,0.02808,0.52705,0.42619,0.44771,0.23459,1.89835,2.11378,0.04638,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1270.31,1.56823,2.25502,0.02827,0.58652,0.39253,0.44867,0.23269,1.89461,2.15178,0.04656,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1363.66,1.56115,2.2089,0.02813,0.55408,0.42993,0.45236,0.2325,1.87618,2.11246,0.04575,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1457.05,1.54736,2.15973,0.02792,0.57342,0.43826,0.48079,0.23392,1.9391,1.9604,0.04769,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1550.45,1.55621,2.11385,0.02789,0.57358,0.43322,0.45922,0.22481,1.90804,2.03657,0.04721,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1644.23,1.54873,2.05386,0.02759,0.54175,0.42448,0.47528,0.23336,1.97245,2.02849,0.04895,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1738.12,1.54279,2.02326,0.02741,0.56948,0.45938,0.49074,0.24668,1.91692,2.00627,0.04692,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1831.64,1.53091,2.00067,0.02717,0.59304,0.45444,0.51087,0.27305,1.85758,2.06903,0.04518,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1925.09,1.5323,1.96421,0.02742,0.56197,0.45785,0.49594,0.26084,1.87596,1.98307,0.04557,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2018.68,1.51445,1.92189,0.02699,0.58889,0.45505,0.49652,0.24714,1.89987,1.93843,0.04648,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2112.01,1.51222,1.91218,0.02706,0.55597,0.48622,0.52379,0.27223,1.88494,1.88277,0.04586,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
